seed,pool_row_index,smiles,dock_score,qed_exact,qed_predicted,sa_exact,sa_predicted,true_hvi,descriptor_surrogate_hvi,random_score,is_true_top50,is_surrogate_descriptor_top50,is_random_top50
42,10359,O=C1C2(C(CCC1=CC=3OC=CC3)C(=O)CCC2)C,-8.3,0.7251879063374508,0.6097285250458014,3.6045245269825106,3.868244914003139,0.0,0.0,0.0998310571767902,False,False,False
42,10350,C(OCC=C)(N1[C@@H](CC2=CC(OCCCOC3CCCCO3)=CC=C21)[C@H](OC(C)=O)CC=C)=O,-7.9,0.24995821707733457,0.5685204196382777,4.035494133548014,3.227993590683308,0.0,0.0,0.10740295628857721,False,False,False
42,36637,O(C=1C(C(C2=CC=3C(C=C2)=CC=CC3)C(=O)C=4C=CC=CC4)=CC=CC1)C,-10.6,0.420332042405726,0.6078523112933637,2.4023883316863,2.538115917122281,0.0,0.0,0.11532643811098797,False,False,False
42,20382,S1C(N=CC=2C=3C(C=CC2O)=CC=CC3)=C(C(=C1C)C)C#N,-9.1,0.6882498347413414,0.5773969782023609,2.6190851437872524,2.505394395657668,0.0,0.0,0.619569256310312,False,False,False
42,85,CC(C)(C)C1=CC(C=C(C#N)C#N)=CC(=C1O)Br,-7.3,0.8004635526156313,0.6696339979294624,2.8329152623257947,2.451099155026941,0.0,0.0,0.12196896420962289,False,False,False
42,27809,S(=O)(=O)(NCCC=1N=C(SC1)C2=CC=CN=C2)C=3SC(CC)=CC3,-8.1,0.683236709625328,0.6379286448471012,2.4425083892743,2.3916743910488387,0.0,0.0,0.8523823179302663,False,False,False
42,23570,S\1C(C(=O)N(/C1=N\N=C2CCCCC2)C3=CC=CC=C3)CC(=O)O,-8.7,0.8490285824149533,0.6181063307899816,3.126409453504694,3.0647718585969677,0.0,0.0,0.7542715149378925,False,False,False
42,10594,S=1(O)(O)=CC(N(C)C(=O)CO/N=C/C=2C=CC(OC(F)F)=CC2)CC1,-8.6,0.43256759655059335,0.6079562461971525,3.9871476181327914,3.4282494178555196,0.0,0.0,0.8198088582380241,False,False,False
42,16156,S1C(C(=O)NC=2C=C(N3C(=O)C=CC3=O)C=CC2)=CC=C1,-8.2,0.8849955547697611,0.7022812294705973,2.2067536204321705,2.2695348040280625,0.0,0.0,0.5260605268860209,False,False,False
42,19589,O(C1=C/C(=C/NNC2=NC=3NC=4C(C3N=N2)=CC=CC4)/C=CC1=O)C,-10.9,0.6265472445190743,0.5093578637295321,2.843619202456937,2.6784882798100345,0.0011294267298263452,0.0,0.9966772115191534,False,False,True
